Port of Rochefort,45.949
,-0.95472
Port of Tinian,14.964
,145.62
Port of Ceuta,35.890
,-5.3164
Port of Oban,56.413
,-5.4753
Port of Grytviken,-54.283
,-36.495
Port of Arklow,52.794
,-6.1439
Port of Leros Island,37.129
,26.853
Port of Ryazan,54.645
,39.763
Port of Montrose,56.704
,-2.4686
Port of Talamone,42.555
,11.134
Port of Rahja,64.223
,23.714
Klintholm Havn,54.953
,12.465
Port of Karmsund,59.387
,5.2861
Hundested Havn,55.962
,11.847
Port of Oskemen,49.943
,82.627
Port of Lokoja,7.7922
,6.7478
Cemex Alcanar,40.571
,0.55000
Port of Safaga,26.742
,33.946
Port of Chartres,-51.713
,-60.082
Porto di Savelletri,40.874
,17.410
Port of Anqing,30.502
,117.02
Puerto Ingeniero White,-38.792
,-62.266
Port of Apapa,6.4453
,3.4261
Port of Forno,-22.972
,-42.016
Port of Joliet,41.533
,-88.083
Port of Zliten,32.500
,14.571
Port of Virac,13.582
,124.23
Port of Fox,-51.956
,-60.073
Kirkcudbright Harbor,54.838
,-4.0550
Port of Gopalpur,19.303
,84.965
Port of Changshu,31.762
,120.96
Burdwood Bay,50.171
,-125.10
Port of Eze,43.716
,7.3508
Port of Yingkou,40.696
,122.24
Port of Santo Domingo,18.475
,-69.881
Port of Ajdabiya,30.899
,20.073
Port of Burtonport,54.983
,-8.4408
Port of Rethimnon,35.370
,24.480
Port of Port Saint Louis,-13.092
,48.844
Port of Wallaroo,-33.928
,137.62
Port of Uusikaupunki,60.796
,21.387
Port of Ajdabiya,30.899
,20.072
Port of Liege,50.651
,5.6069
Port of Almeria,36.832
,-2.4739
Cala Bitta Harbor,41.127
,9.4697
Port of Jiamusi,46.819
,130.36
Thorsminde Havn,56.369
,8.1203
Port of Menzel Bourguiba,37.162
,9.8067
Port of Montereau,48.389
,2.9586
Port of Hoedic,47.344
,-2.8756
Port of Jucaro,21.618
,-78.854
Port of Turku,60.438
,22.216
Port of Shimotsu,34.116
,135.13
Port of Bukhta Nagayeva,59.565
,150.74
Rio Cullen Marine Terminal,-52.891
,-68.339
Punto Franco,45.616
,13.779
Minamisoma Harbor,37.668
,141.03
Porto di Ventimiglia,43.789
,7.5986
Kiabo Marine Terminal,-7.3331
,12.583
Port of Sintete,1.2403
,109.14
Port of Hagu,5.1942
,97.148
Port of Jeremie,18.644
,-74.111
Port of Gorinchem,51.831
,4.9561
Port of Cesme,38.323
,26.299
Lombo Marine Terminal,-6.8331
,12.367
Skidegate Landing,53.246
,-132.01
Port of Basse-Terre,15.996
,-61.733
Port of Seattle,47.602
,-122.37
Port of Rochefort,45.949
,-0.95444
Port of Port Antonio,18.181
,-76.453
Montague Harbor,46.166
,-62.645
Port Taranaki,-39.057
,174.04
Port of Burela,43.658
,-7.3528
Pasito Blanco Harbor,27.746
,-15.623
Port of Stromness,58.962
,-3.2967
Fraserburgh Harbour,57.693
,-1.9994
Port of Greenville,4.9894
,-9.0417
Port of Larvik,59.043
,10.037
Bagenkop Havn,54.752
,10.672
Lucina Terminal,-3.6133
,10.818
Port of Bula,-3.1011
,130.50
Port of Port Nolloth,-29.257
,16.867
Port of Port Louis,-20.148
,57.494
Canso Harbour,45.338
,-60.996
Port of Brake,53.330
,8.4847
Port of Dusseldorf,51.217
,6.7425
Port of Maasin,10.131
,124.84
Port of Qaanaaq,77.467
,-69.236
Port of Natal,-5.7667
,-35.200
Port of Formia,41.255
,13.611
Port of Fromentine,46.893
,-2.1383
San Lorenzo al Mare Harbor,43.852
,7.9664
Port of Sarande,39.872
,20.006
Cutler Harbor,44.656
,-67.207
Port of Tadri,14.524
,74.355
